Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.983334	11.804177	84.0	8.0	21.983334	-0.26152173	0.06614408	-0.041051768	-0.42794418	4000	-1.09434126e-07	274.2295	-0.016282162	-154.0502	0.68873054	0.00832716	0.16125	79.0	3.3902318477630615
1	27.715279	15.114684	91.0	8.0	27.715279	7.9374194	0.19659767	8.206227	6.6420593	8000	-1.5735626e-08	195.29039	-0.017860617	-62.62114	0.69057685	0.005554183	0.06875	79.0	6.7642669677734375
2	34.669567	22.037802	126.0	9.0	34.669567	13.149572	1.6948465	13.958075	-2.0302565	12000	5.197525e-08	265.73105	-0.015092484	-50.61743	0.67806137	0.015636818	0.17675	17.0	9.5066978931427
3	46.279068	34.60362	169.0	11.0	46.279068	18.238958	1.3257675	18.796589	-2.2862678	16000	-5.722046e-09	462.36978	-0.015215396	-80.110565	0.65153205	0.0061730477	0.05675	79.0	12.873148918151855
4	60.953125	40.331993	186.0	12.0	60.953125	23.47191	4.163953	24.656336	-21.10579	20000	-2.2351742e-08	498.62018	-0.011192013	-72.1304	0.63534	0.016543148	0.13525	11.0	15.549259901046753
5	68.17242	47.531525	200.0	14.0	68.17242	28.909481	3.4812405	30.057455	-17.288969	24000	2.2649765e-08	518.06995	-0.011398188	-69.0499	0.6312655	0.015395148	0.15825	12.0	18.221226930618286
6	134.44827	59.666077	200.0	20.0	134.44827	33.436577	3.9661999	35.041744	-5.505874	28000	7.033348e-09	804.1928	-0.009661838	-241.80896	0.6210462	0.0064644306	0.056	79.0	21.561091661453247
7	127.19355	55.431694	200.0	15.0	127.19355	40.891556	5.160058	43.810417	12.860449	32000	-4.6491624e-09	540.5379	-0.010386215	-83.90143	0.61334693	0.005047339	0.03725	79.0	24.901336669921875
8	162.5	47.801674	200.0	24.0	162.5	42.719803	7.9018736	48.421566	14.626006	36000	1.9073487e-09	501.2735	-0.006059719	-117.91745	0.6013889	0.0041648755	0.0165	79.0	28.262162923812866
9	194.65	11.559736	200.0	159.0	194.65	49.13692	9.478647	54.117493	7.725445	40000	1.168251e-08	459.91693	-0.0038136465	-72.14456	0.5952333	0.003895647	0.02525	79.0	31.6422016620636
