Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	20.755209	10.701318	64.0	8.0	20.755209	-0.25849232	0.067697786	-0.050990276	-0.4415592	4000	-1.4352798e-07	237.13477	-0.017857362	-139.4043	0.68873227	0.009893383	0.14025	79.0	3.4740617275238037
1	24.98125	13.98994	91.0	8.0	24.98125	7.836961	0.2624927	8.161867	6.163384	8000	5.7220458e-08	164.49982	-0.013944648	-51.948654	0.68800414	0.015273224	0.2365	18.0	6.288517951965332
2	35.63964	20.622646	101.0	9.0	35.63964	12.8796625	1.7999954	13.767194	-9.363514	12000	-2.336502e-08	243.42517	-0.016227856	-53.323044	0.67043316	0.006397455	0.0615	79.0	9.72054409980774
3	50.94872	30.491653	147.0	13.0	50.94872	18.074566	1.7127037	18.838518	-4.253999	16000	1.1324882e-08	388.28275	-0.01620379	-82.26871	0.6524229	0.006771018	0.05875	79.0	13.23007583618164
4	83.3125	44.818226	188.0	16.0	83.3125	23.818567	3.2282054	24.900867	-7.9810023	20000	1.9192695e-08	633.71265	-0.015324536	-158.39417	0.63576746	0.0081692105	0.06275	79.0	16.631739854812622
5	103.8421	56.44631	200.0	22.0	103.8421	31.29993	3.9336317	32.749638	-15.972564	24000	-1.7642975e-08	661.48694	-0.012501864	-143.64423	0.62126255	0.004519309	0.0395	79.0	20.165791988372803
6	155.0	44.941742	200.0	44.0	155.0	37.199306	7.2495317	39.796482	-4.829598	28000	2.7298928e-08	678.63635	-0.0072192997	-156.92065	0.6114213	0.0063304617	0.07625	79.0	23.641182899475098
7	183.57143	34.28671	200.0	61.0	183.57143	46.08931	3.4109929	46.73979	7.4591484	32000	4.220009e-08	638.67035	-0.002777332	-141.94559	0.6016758	0.0016247699	0.01375	79.0	27.07843589782715
8	186.90475	29.987148	200.0	90.0	186.90475	49.90798	6.6462345	52.652966	14.01952	36000	-1.6212464e-08	505.7023	-0.0049891835	-114.10693	0.59306306	0.0037674152	0.0185	79.0	30.492312908172607
9	189.71428	26.439764	200.0	98.0	189.71428	53.09717	7.973438	56.81334	14.656083	40000	-1.0490417e-08	486.3044	-0.0021528078	-70.67853	0.5877253	0.0024319235	0.01575	79.0	33.911728858947754
